timestamp,SY,AY,SO,AO,RA,RS,ARe,SRe,sum
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,2.9731456017847933,0.10582833597291663,9.26153358385417E-4,0.0012188956354166666,0.3304626256312499,-2.411627845736343,-9.857239583333332E-6,5.6090593164062505E-5,0.9999999999999996
2.0,4915.502744699147,-1466.7161661420325,-0.816417379949701,0.24759505065261958,1467.1085176987317,-4914.40211106608,-0.03838410735185799,0.11422124688388469,1.000000000002487
3.0,1.0136281819827005E7,-4418622.242786818,-1687.648017469276,736.4742001502941,4417997.207561973,-1.013483005739308E7,-110.77588936733662,236.22249760574186,0.9999999986204102
4.0,2.111958088592878E10,-1.1619217528215616E10,-3516336.04003005,1936671.0613198916,1.1617566748103785E10,-2.1116557953609856E10,-285890.26333021314,493404.03495111153,1.0000030089868233
5.0,4.437789264594525E13,-2.8552473025104824E13,-7.388780326002768E9,4.759145270763374E9,2.8548409639350273E13,-4.437154290320223E13,-6.957595155111115E8,1.0390375833030863E9,1.0263497829437256
6.0,9.3891025554643856E16,-6.744398043074104E16,-1.5632591103572023E13,1.124170731753578E13,6.743437342764316E16,-9.3877595555426528E16,-1.6347042196503074E12,2.202591886257776E12,15.46826171875
7.0,1.9973702366198628E20,-1.553559154619E20,-3.32557004288021E16,2.589520789590262E16,1.5533377464780282E20,-1.9970846187108326E20,-3.7543937986867105E15,4.693909525771191E15,31681.0
8.0,4.267473754922582E23,-3.518786487786526E23,-7.105242209026997E19,5.865246294847067E19,3.518284869158569E23,-4.266863681367697E23,-8.4906001527730975E18,1.0045066601831213E19,5.6569856E7
9.0,9.148577921913377E26,-7.877228182666995E26,-1.5232178205226046E23,1.3130098489694295E23,7.87610512376008E26,-9.147270377227274E26,-1.8995094205467418E22,2.1567313441835922E22,2.8106031104E10
10.0,1.9664364404429162E30,-1.7487790604079378E30,-3.2740751103706986E26,2.914945095056498E26,1.7485297336279595E30,-1.9661554576430892E30,-4.216772952735134E25,4.64247112098001E25,-1.01644696027136E14
11.0,4.2353653751162375E33,-3.8590102928889415E33,-7.051797641936467E29,6.432384708580604E29,3.8584601372473464E33,-4.2347603248858473E33,-9.30828292627952E28,1.0012953380300841E29,-4.7257889371114701E17
12.0,9.136573648203953E36,-8.478044622960756E36,-1.5212216558210085E33,1.4131629518028871E33,8.476836083135983E36,-9.135268717536682E36,-2.0462312702910848E32,2.162909885486093E32,-1.1595508032583363E21
13.0,1.9733275637431324E40,-1.8564962247491263E40,-3.2855528740461194E36,3.094503409556274E36,1.8562316178978232E40,-1.973045784612734E40,-4.484348965263329E35,4.677615700618547E35,-3.320413933267719E23
14.0,4.265951456930822E43,-4.0554007819776784E43,-7.102729798259892E39,6.759754710851323E39,4.054822855185496E43,-4.2653424354707146E43,-9.804867890213805E38,1.0125151971876403E39,1.019502255253762E28
15.0,9.228671109124774E46,-8.842621764319631E46,-1.5365568540152128E43,1.4739352367585024E43,8.841361837528713E46,-9.22735387192484E46,-2.140084458395955E42,2.1931965408126562E42,6.860354212709756E30
16.0,1.9975445229033415E50,-1.92545305059033E50,-3.3258755545805843E46,3.209448665733731E46,1.925178755760496E50,-1.997259466876727E50,-4.665003673962923E45,4.753152884356317E45,-2.5583724413806126E34
