timestamp,SY,AY,SO,AO,RA,RS,ARe,SRe,sum
0,1,0,0,0,0,0,0,0,1
1,0.55898402,0.434265568,0.001745585,0.001536213,0.001697748,0.001767781,4.70E-07,2.61E-06,1
2,0.393962243,0.595931546,0.002530491,0.004010503,0.001615181,0.001940691,5.27E-06,4.07E-06,1
3,0.331830503,0.655234786,0.003252203,0.006530248,0.001309883,0.001825611,1.10E-05,5.75E-06,1
4,0.308061242,0.676102409,0.004058844,0.008947653,0.001090303,0.00171495,1.69E-05,7.74E-06,1
5,0.298598627,0.682542166,0.00493568,0.011277064,9.67E-04,0.0016468,2.26E-05,9.93E-06,1
6,0.294473954,0.683570751,0.005850977,0.013549914,9.04E-04,0.001609476,2.83E-05,1.22E-05,1
7,0.292343187,0.682574783,0.006783075,0.015787741,8.74E-04,0.001589152,3.39E-05,1.46E-05,1
8,0.290959391,0.680826297,0.007720218,0.018002287,8.58E-04,0.001577203,3.95E-05,1.69E-05,1
9,0.289857569,0.678803068,0.008656659,0.020199353,8.50E-04,0.001569139,4.50E-05,1.93E-05,1
10,0.288864294,0.676684529,0.009589752,0.022381664,8.45E-04,0.001562816,5.05E-05,2.16E-05,1
11,0.28791487,0.674538039,0.010518336,0.024550475,8.41E-04,0.001557261,5.59E-05,2.40E-05,1
12,0.28698515,0.67238886,0.011441924,0.026706371,8.38E-04,0.001552048,6.14E-05,2.63E-05,1
13,0.286066107,0.670246436,0.012360326,0.028849645,8.35E-04,0.001546996,6.67E-05,2.86E-05,1
14,0.285154357,0.668114271,0.013273482,0.03098046,8.32E-04,0.001542025,7.21E-05,3.09E-05,1
15,0.284248617,0.665993635,0.014181382,0.033098926,8.30E-04,0.001537106,7.74E-05,3.32E-05,1
16,0.283348391,0.663884963,0.015084043,0.03520513,8.27E-04,0.001532223,8.27E-05,3.55E-05,1
17,0.282453473,0.661788372,0.015981488,0.037299148,8.24E-04,0.001527372,8.80E-05,3.77E-05,1
18,0.281563769,0.659703865,0.016873744,0.039381055,8.22E-04,0.001522551,9.32E-05,4.00E-05,1
19,0.280679225,0.657631396,0.017760841,0.041450921,8.19E-04,0.001517758,9.84E-05,4.22E-05,1
20,0.279799802,0.655570908,0.018642808,0.043508816,8.17E-04,0.001512994,1.04E-04,4.44E-05,1
21,0.278925466,0.653522333,0.019519674,0.045554809,8.14E-04,0.001508256,1.09E-04,4.66E-05,1
22,0.278056188,0.651485605,0.020391469,0.04758897,8.12E-04,0.001503547,1.14E-04,4.88E-05,1
23,0.277191938,0.649460655,0.021258223,0.049611367,8.09E-04,0.001498864,1.19E-04,5.10E-05,1
24,0.276332686,0.647447417,0.022119963,0.051622068,8.07E-04,0.001494209,1.24E-04,5.31E-05,1
25,0.275478403,0.645445821,0.02297672,0.05362114,8.04E-04,0.00148958,1.29E-04,5.53E-05,1
26,0.27462906,0.643455801,0.023828522,0.055608651,8.02E-04,0.001484978,1.34E-04,5.74E-05,1
27,0.27378463,0.64147729,0.024675398,0.057584668,7.99E-04,0.001480403,1.39E-04,5.96E-05,1
28,0.272945083,0.639510221,0.025517377,0.059549257,7.97E-04,0.001475855,1.44E-04,6.17E-05,1
29,0.272110392,0.637554528,0.026354485,0.061502484,7.94E-04,0.001471332,1.49E-04,6.38E-05,1
30,0.271280527,0.635610146,0.027186753,0.063444415,7.92E-04,0.001466836,1.54E-04,6.59E-05,1
31,0.270455463,0.633677008,0.028014207,0.065375116,7.89E-04,0.001462366,1.59E-04,6.80E-05,1
32,0.269635169,0.631755051,0.028836876,0.06729465,7.87E-04,0.001457922,1.63E-04,7.00E-05,1
33,0.26881962,0.629844208,0.029654788,0.069203084,7.84E-04,0.001453503,1.68E-04,7.21E-05,1
34,0.268008787,0.627944417,0.030467969,0.07110048,7.82E-04,0.00144911,1.73E-04,7.41E-05,1
35,0.267202644,0.626055612,0.031276447,0.072986904,7.80E-04,0.001444742,1.78E-04,7.62E-05,1
36,0.266401162,0.624177731,0.03208025,0.074862417,7.77E-04,0.0014404,1.82E-04,7.82E-05,1
37,0.265604316,0.62231071,0.032879403,0.076727084,7.75E-04,0.001436083,1.87E-04,8.02E-05,1
38,0.264812078,0.620454487,0.033673936,0.078580968,7.73E-04,0.00143179,1.92E-04,8.22E-05,1
39,0.264024422,0.618608998,0.034463873,0.080424129,7.70E-04,0.001427523,1.96E-04,8.42E-05,1
40,0.263241321,0.616774183,0.035249242,0.082256632,7.68E-04,0.00142328,2.01E-04,8.62E-05,1
41,0.262462749,0.614949979,0.036030069,0.084078536,7.66E-04,0.001419062,2.06E-04,8.81E-05,1
42,0.26168868,0.613136325,0.03680638,0.085889904,7.64E-04,0.001414868,2.10E-04,9.01E-05,1
43,0.260919087,0.611333159,0.037578201,0.087690796,7.61E-04,0.001410698,2.15E-04,9.20E-05,1
44,0.260153945,0.609540422,0.038345559,0.089481273,7.59E-04,0.001406553,2.19E-04,9.39E-05,1
45,0.259393228,0.607758053,0.039108479,0.091261395,7.57E-04,0.001402431,2.24E-04,9.59E-05,1
46,0.258636911,0.605985991,0.039866987,0.093031223,7.55E-04,0.001398333,2.28E-04,9.78E-05,1
47,0.257884967,0.604224178,0.040621108,0.094790815,7.52E-04,0.001394259,2.33E-04,9.97E-05,1
48,0.257137373,0.602472554,0.041370868,0.09654023,7.50E-04,0.001390209,2.37E-04,1.02E-04,1
49,0.256394101,0.60073106,0.042116292,0.098279529,7.48E-04,0.001386182,2.41E-04,1.03E-04,1
50,0.255655129,0.598999638,0.042857405,0.100008769,7.46E-04,0.001382178,2.46E-04,1.05E-04,1
51,0.25492043,0.597278228,0.043594231,0.101728007,7.44E-04,0.001378198,2.50E-04,1.07E-04,1
52,0.25418998,0.595566775,0.044326797,0.103437304,7.42E-04,0.00137424,2.54E-04,1.09E-04,1
53,0.253463754,0.593865219,0.045055126,0.105136714,7.39E-04,0.001370305,2.59E-04,1.11E-04,1
54,0.252741728,0.592173503,0.045779243,0.106826297,7.37E-04,0.001366393,2.63E-04,1.13E-04,1
55,0.252023878,0.590491571,0.046499172,0.108506108,7.35E-04,0.001362504,2.67E-04,1.14E-04,1
56,0.25131018,0.588819367,0.047214937,0.110176205,7.33E-04,0.001358637,2.71E-04,1.16E-04,1
57,0.250600609,0.587156833,0.047926563,0.111836643,7.31E-04,0.001354793,2.75E-04,1.18E-04,1
58,0.249895141,0.585503914,0.048634074,0.113487478,7.29E-04,0.001350971,2.80E-04,1.20E-04,1
59,0.249193754,0.583860554,0.049337492,0.115128766,7.27E-04,0.001347171,2.84E-04,1.22E-04,1
60,0.248496423,0.582226698,0.050036843,0.116760562,7.25E-04,0.001343393,2.88E-04,1.23E-04,1
61,0.247803124,0.580602292,0.050732149,0.118382921,7.23E-04,0.001339636,2.92E-04,1.25E-04,1
62,0.247113836,0.578987279,0.051423434,0.119995897,7.21E-04,0.001335902,2.96E-04,1.27E-04,1
63,0.246428533,0.577381607,0.052110721,0.121599545,7.19E-04,0.001332189,3.00E-04,1.29E-04,1
64,0.245747194,0.575785221,0.052794034,0.123193919,7.17E-04,0.001328497,3.04E-04,1.30E-04,1
65,0.245069795,0.574198067,0.053473394,0.124779072,7.15E-04,0.001324827,3.08E-04,1.32E-04,1
66,0.244396314,0.572620092,0.054148826,0.126355058,7.13E-04,0.001321178,3.12E-04,1.34E-04,1
67,0.243726728,0.571051243,0.054820352,0.127921929,7.11E-04,0.00131755,3.16E-04,1.35E-04,1
68,0.243061014,0.569491467,0.055487993,0.129479738,7.09E-04,0.001313944,3.20E-04,1.37E-04,1
69,0.24239915,0.567940711,0.056151774,0.131028539,7.07E-04,0.001310358,3.24E-04,1.39E-04,1
70,0.241741114,0.566398924,0.056811716,0.132568382,7.05E-04,0.001306792,3.28E-04,1.40E-04,1
71,0.241086884,0.564866054,0.057467841,0.13409932,7.03E-04,0.001303248,3.31E-04,1.42E-04,1
72,0.240436437,0.563342048,0.058120172,0.135621404,7.01E-04,0.001299724,3.35E-04,1.44E-04,1
73,0.239789751,0.561826857,0.05876873,0.137134686,6.99E-04,0.00129622,3.39E-04,1.45E-04,1
74,0.239146806,0.560320428,0.059413537,0.138639216,6.98E-04,0.001292737,3.43E-04,1.47E-04,1
75,0.238507579,0.558822711,0.060054616,0.140135044,6.96E-04,0.001289273,3.47E-04,1.49E-04,1
76,0.237872049,0.557333656,0.060691986,0.141622222,6.94E-04,0.00128583,3.50E-04,1.50E-04,1
77,0.237240194,0.555853212,0.061325671,0.143100799,6.92E-04,0.001282407,3.54E-04,1.52E-04,1
78,0.236611994,0.55438133,0.061955691,0.144570825,6.90E-04,0.001279003,3.58E-04,1.53E-04,1
79,0.235987427,0.552917961,0.062582067,0.14603235,6.88E-04,0.001275619,3.61E-04,1.55E-04,1
80,0.235366471,0.551463054,0.063204821,0.147485422,6.86E-04,0.001272255,3.65E-04,1.56E-04,1
81,0.234749107,0.550016562,0.063823973,0.148930091,6.85E-04,0.00126891,3.69E-04,1.58E-04,1
82,0.234135313,0.548578435,0.064439544,0.150366405,6.83E-04,0.001265584,3.72E-04,1.60E-04,1
83,0.233525069,0.547148626,0.065051556,0.151794412,6.81E-04,0.001262278,3.76E-04,1.61E-04,1
84,0.232918354,0.545727085,0.065660028,0.153214161,6.79E-04,0.001258991,3.79E-04,1.63E-04,1
85,0.232315148,0.544313765,0.066264981,0.154625698,6.78E-04,0.001255723,3.83E-04,1.64E-04,1
86,0.23171543,0.542908619,0.066866435,0.156029073,6.76E-04,0.001252473,3.87E-04,1.66E-04,1
87,0.231119181,0.541511599,0.067464412,0.157424331,6.74E-04,0.001249243,3.90E-04,1.67E-04,1
88,0.23052638,0.540122659,0.068058929,0.158811521,6.72E-04,0.001246031,3.94E-04,1.69E-04,1
89,0.229937007,0.538741751,0.068650009,0.160190688,6.71E-04,0.001242838,3.97E-04,1.70E-04,1
90,0.229351043,0.53736883,0.06923767,0.161561878,6.69E-04,0.001239663,4.00E-04,1.72E-04,1
91,0.228768468,0.536003848,0.069821933,0.162925139,6.67E-04,0.001236507,4.04E-04,1.73E-04,1
92,0.228189261,0.534646761,0.070402816,0.164280516,6.65E-04,0.001233369,4.07E-04,1.75E-04,1
93,0.227613405,0.533297521,0.070980341,0.165628054,6.64E-04,0.001230249,4.11E-04,1.76E-04,1
94,0.227040879,0.531956085,0.071554525,0.166967799,6.62E-04,0.001227147,4.14E-04,1.77E-04,1
95,0.226471664,0.530622407,0.072125389,0.168299796,6.60E-04,0.001224063,4.17E-04,1.79E-04,1
96,0.22590574,0.529296442,0.072692951,0.169624089,6.59E-04,0.001220997,4.21E-04,1.80E-04,1
97,0.22534309,0.527978145,0.073257231,0.170940724,6.57E-04,0.001217948,4.24E-04,1.82E-04,1
98,0.224783694,0.526667472,0.073818247,0.172249744,6.55E-04,0.001214918,4.27E-04,1.83E-04,1
99,0.224227533,0.52536438,0.074376019,0.173551194,6.54E-04,0.001211904,4.31E-04,1.85E-04,1
100,0.223674588,0.524068823,0.074930565,0.174845118,6.52E-04,0.001208908,4.34E-04,1.86E-04,1
101,0.223124841,0.522780759,0.075481904,0.176131558,6.51E-04,0.00120593,4.37E-04,1.87E-04,1
102,0.222578273,0.521500144,0.076030055,0.177410558,6.49E-04,0.001202969,4.40E-04,1.89E-04,1
103,0.222034867,0.520226935,0.076575035,0.178682162,6.47E-04,0.001200024,4.44E-04,1.90E-04,1
104,0.221494603,0.51896109,0.077116864,0.179946411,6.46E-04,0.001197097,4.47E-04,1.91E-04,1
105,0.220957463,0.517702565,0.077655559,0.18120335,6.44E-04,0.001194187,4.50E-04,1.93E-04,1
106,0.22042343,0.516451319,0.078191139,0.182453018,6.43E-04,0.001191294,4.53E-04,1.94E-04,1
107,0.219892485,0.515207309,0.078723621,0.18369546,6.41E-04,0.001188417,4.56E-04,1.95E-04,1
108,0.219364611,0.513970493,0.079253024,0.184930716,6.40E-04,0.001185557,4.59E-04,1.97E-04,1
109,0.21883979,0.512740831,0.079779365,0.186158829,6.38E-04,0.001182714,4.62E-04,1.98E-04,1
110,0.218318004,0.511518279,0.080302662,0.187379839,6.36E-04,0.001179887,4.65E-04,1.99E-04,1
111,0.217799236,0.510302798,0.080822933,0.188593787,6.35E-04,0.001177076,4.68E-04,2.01E-04,1
112,0.217283468,0.509094347,0.081340195,0.189800715,6.33E-04,0.001174281,4.71E-04,2.02E-04,1
113,0.216770682,0.507892884,0.081854465,0.191000663,6.32E-04,0.001171503,4.74E-04,2.03E-04,1
114,0.216260863,0.50669837,0.082365761,0.192193672,6.30E-04,0.001168741,4.77E-04,2.05E-04,1
115,0.215753991,0.505510764,0.082874101,0.19337978,6.29E-04,0.001165995,4.80E-04,2.06E-04,1
116,0.215250051,0.504330026,0.0833795,0.19455903,6.28E-04,0.001163264,4.83E-04,2.07E-04,1
117,0.214749026,0.503156117,0.083881977,0.195731459,6.26E-04,0.00116055,4.86E-04,2.08E-04,1
118,0.214250898,0.501988997,0.084381547,0.196897108,6.25E-04,0.001157851,4.89E-04,2.10E-04,1
119,0.21375565,0.500828626,0.084878229,0.198056016,6.23E-04,0.001155168,4.92E-04,2.11E-04,1
120,0.213263267,0.499674966,0.085372038,0.199208221,6.22E-04,0.0011525,4.95E-04,2.12E-04,1
121,0.212773732,0.498527978,0.085862991,0.200353763,6.20E-04,0.001149848,4.98E-04,2.13E-04,1
122,0.212287028,0.497387624,0.086351105,0.20149268,6.19E-04,0.001147211,5.01E-04,2.15E-04,1
123,0.211803138,0.496253864,0.086836396,0.20262501,6.17E-04,0.001144589,5.04E-04,2.16E-04,1
124,0.211322047,0.495126662,0.087318881,0.203750791,6.16E-04,0.001141983,5.07E-04,2.17E-04,1
125,0.210843738,0.494005978,0.087798575,0.204870062,6.15E-04,0.001139391,5.09E-04,2.18E-04,1
126,0.210368195,0.492891775,0.088275495,0.20598286,6.13E-04,0.001136815,5.12E-04,2.19E-04,1
127,0.209895403,0.491784017,0.088749656,0.207089223,6.12E-04,0.001134253,5.15E-04,2.21E-04,1
128,0.209425345,0.490682664,0.089221076,0.208189186,6.10E-04,0.001131706,5.18E-04,2.22E-04,1
129,0.208958005,0.489587681,0.089689769,0.209282789,6.09E-04,0.001129174,5.20E-04,2.23E-04,1
130,0.208493368,0.488499031,0.090155752,0.210370067,6.08E-04,0.001126657,5.23E-04,2.24E-04,1
131,0.208031418,0.487416677,0.090619039,0.211451057,6.06E-04,0.001124154,5.26E-04,2.25E-04,1
132,0.20757214,0.486340582,0.091079648,0.212525795,6.05E-04,0.001121666,5.29E-04,2.27E-04,1
133,0.207115518,0.48527071,0.091537592,0.213594318,6.04E-04,0.001119192,5.31E-04,2.28E-04,1
134,0.206661536,0.484207026,0.091992889,0.214656661,6.02E-04,0.001116732,5.34E-04,2.29E-04,1
