timestamp,SY,AY,SO,AO,RA,RS,ARe,SRe,sum
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,2.9731456017847937,0.10582833597291669,9.261533583854169E-4,0.0012188956354166666,0.3304626256312499,-2.4116278457363425,-9.857239583333332E-6,5.6090593164062505E-5,1.0000000000000004
2.0,4915.502744699147,-1466.7161661420325,-0.816417379949701,0.24759505065261958,1467.1085176987317,-4914.402111066081,-0.038384107351857995,0.11422124688388467,1.0000000000015772
3.0,1.0136281819827007E7,-4418622.242786818,-1687.6480174692765,736.4742001502943,4417997.2075619735,-1.013483005739308E7,-110.77588936733665,236.22249760574178,1.0000000023455868
4.0,2.1119580885928776E10,-1.1619217528215618E10,-3516336.04003005,1936671.0613198925,1.1617566748103786E10,-2.111655795360985E10,-285890.26333021314,493404.0349511115,1.0000030089286156
5.0,4.437789264594524E13,-2.8552473025104824E13,-7.388780326002767E9,4.759145270763375E9,2.8548409639350277E13,-4.437154290320222E13,-6.957595155111115E8,1.0390375833030863E9,1.0263497829437256
6.0,9.3891025554643856E16,-6.7443980430741048E16,-1.5632591103572021E13,1.1241707317535783E13,6.7434373427643168E16,-9.3877595555426528E16,-1.6347042196503074E12,2.202591886257776E12,15.46826171875
7.0,1.9973702366198628E20,-1.553559154619E20,-3.3255700428802104E16,2.589520789590262E16,1.5533377464780286E20,-1.9970846187108326E20,-3.75439379868671E15,4.693909525771191E15,64449.0
8.0,4.267473754922583E23,-3.518786487786527E23,-7.105242209026998E19,5.865246294847069E19,3.5182848691585705E23,-4.2668636813676985E23,-8.4906001527730975E18,1.0045066601831213E19,5.6569856E7
9.0,9.148577921913379E26,-7.877228182666999E26,-1.523217820522605E23,1.3130098489694302E23,7.876105123760084E26,-9.147270377227275E26,-1.8995094205467418E22,2.156731344183592E22,2.81018368E10
10.0,1.9664364404429168E30,-1.748779060407939E30,-3.274075110370699E26,2.914945095056499E26,1.7485297336279606E30,-1.9661554576430892E30,-4.216772952735134E25,4.64247112098001E25,4.61305257394176E14
11.0,4.2353653751162375E33,-3.8590102928889444E33,-7.051797641936467E29,6.43238470858061E29,3.858460137247348E33,-4.2347603248858473E33,-9.30828292627952E28,1.001295338030084E29,-1.6255179905040384E18
12.0,9.136573648203954E36,-8.478044622960759E36,-1.5212216558210088E33,1.4131629518028874E33,8.476836083135987E36,-9.135268717536683E36,-2.0462312702910848E32,2.1629098854860927E32,2.1004788662055993E19
13.0,1.9733275637431329E40,-1.8564962247491275E40,-3.28555287404612E36,3.094503409556276E36,1.8562316178978244E40,-1.9730457846127342E40,-4.4843489652633294E35,4.677615700618547E35,2.0857364589261916E24
14.0,4.2659514569308227E43,-4.055400781977681E43,-7.102729798259894E39,6.759754710851326E39,4.0548228551854986E43,-4.2653424354707146E43,-9.804867890213807E38,1.0125151971876401E39,1.5146480478224237E28
15.0,9.228671109124774E46,-8.842621764319637E46,-1.536556854015213E43,1.473935236758503E43,8.841361837528716E46,-9.227353871924837E46,-2.1400844583959556E42,2.193196540812656E42,6.859425757680292E30
16.0,1.997544522903341E50,-1.9254530505903305E50,-3.325875554580583E46,3.2094486657337315E46,1.9251787557604964E50,-1.997259466876726E50,-4.665003673962925E45,4.7531528843563164E45,1.5952115153272039E34
17.0,4.3254596151267555E53,-4.188285088520259E53,-7.201812921164725E49,6.981260555987875E49,4.187688550674466E53,-4.32484248666027E53,-1.0158820980483072E49,1.0305282563169098E49,5.097018211180714E37
18.0,9.369233730942229E56,-9.103341752721046E56,-1.5599607930782749E53,1.5173946298536865E53,9.102045417357519E56,-9.367897266412205E56,-2.2105926632651768E52,2.2349626305117455E52,-1.9136097918517963E41
19.0,2.029922553477612E60,-1.9774673957025374E60,-3.3797852486244155E56,3.296150939171786E56,1.9771858564056656E60,-2.0296330570049672E60,-4.807579704482731E55,4.848205221806504E55,9.862635232479066E44
20.0,4.398794868404738E63,-4.293622844535725E63,-7.323916222188367E59,7.156846466196807E59,4.293011669378919E63,-4.398167665152971E63,-1.0450948981269686E59,1.0518837045114686E59,7.020943610853396E47
