timestamp,SY,AY,SO,AO,RA,RS,ARe,SRe,sum,RA+RS,RA+Are
1,1,0,0,0,0,0,0,0,1,0,0
2,0.551567027,0.440891341,0.001380067,0.001099239,4.97E-04,0.004565342,1.70E-07,2.15E-07,1,0.005061941,0.00049677
3,0.389743404,0.602092587,0.001950493,0.003000395,1.74E-04,0.003038394,4.83E-07,3.15E-07,1,0.003212323,0.000174412
4,0.329621423,0.660181198,0.002477927,0.004934582,3.35E-05,0.002750206,8.05E-07,4.03E-07,1,0.002783661,3.42596E-05
5,0.307453407,0.680133677,0.003081053,0.006781623,2.63E-04,0.002285537,1.11E-06,5.06E-07,1,0.002548624,0.000264197
6,0.298337515,0.686839215,0.003744241,0.008556713,-1.14E-04,0.002634004,1.41E-06,6.15E-07,1,0.002520293,-0.000112303
7,0.295582054,0.687302725,0.004439555,0.010287619,6.73E-04,0.001712643,1.69E-06,7.35E-07,1,0.002385619,0.000674668
8,0.293355618,0.687079932,0.005149308,0.011992065,2.88E-04,0.002132487,1.98E-06,8.51E-07,1,0.002420247,0.000289739
9,0.29191448,0.686089845,0.005863686,0.013679871,-6.78E-06,0.002455668,2.26E-06,9.69E-07,1,0.002448888,-4.51836E-06
10,0.291279022,0.684367191,0.006578036,0.015355734,1.88E-04,0.002228231,2.54E-06,1.09E-06,1,0.002416387,0.000190696
11,0.290254124,0.682989508,0.007290463,0.017021623,-4.57E-05,0.002485983,2.82E-06,1.21E-06,1,0.002440257,-4.29072E-05
12,0.289948939,0.680981879,0.007999883,0.018678659,3.25E-04,0.002061541,3.09E-06,1.33E-06,1,0.002386219,0.000327772
13,0.288273762,0.680197037,0.008706269,0.020326966,-5.32E-04,0.003022828,3.37E-06,1.44E-06,1,0.002491153,-0.000528303
14,0.288127843,0.678068981,0.009408995,0.021967175,-4.14E-05,0.002463183,3.64E-06,1.56E-06,1,0.002421803,-3.77371E-05
15,0.287856593,0.676062931,0.010108286,0.023599149,3.33E-04,0.002034024,3.91E-06,1.68E-06,1,0.002367449,0.000337339
16,0.286708503,0.674844324,0.010804257,0.025222845,-7.16E-05,0.002485662,4.19E-06,1.79E-06,1,0.002414093,-6.73827E-05
17,0.286370088,0.672919961,0.011496635,0.026838564,2.37E-04,0.002131446,4.45E-06,1.91E-06,1,0.002368388,0.000241396
18,0.285267494,0.67168325,0.012185693,0.028446118,-1.34E-04,0.00254482,4.72E-06,2.02E-06,1,0.002410699,-0.000129397
19,0.284856221,0.669845485,0.012871206,0.030045763,1.04E-04,0.002270446,4.99E-06,2.14E-06,1,0.002374198,0.000108741
20,0.283805796,0.668584572,0.013553411,0.031637345,-2.27E-04,0.002638548,5.26E-06,2.25E-06,1,0.002411369,-0.000221921
21,0.282790838,0.667303174,0.014232212,0.033221002,-5.30E-04,0.002974592,5.52E-06,2.36E-06,1,0.002444892,-0.000524177
22,0.2826685,0.665242336,0.014907485,0.0347969,-4.50E-05,0.00242154,5.78E-06,2.48E-06,1,0.002376521,-3.92361E-05
23,0.282424205,0.663300281,0.015579414,0.036364929,3.29E-04,0.001993791,6.04E-06,2.59E-06,1,0.002322538,0.000334789
24,0.281088814,0.662335002,0.016248176,0.037924986,-2.66E-04,0.002660312,6.31E-06,2.70E-06,1,0.002394018,-0.000259988
25,0.280303316,0.660893563,0.016913517,0.039477351,-3.77E-04,0.002780359,6.57E-06,2.81E-06,1,0.002402879,-0.000370914
26,0.279892413,0.659131115,0.017575482,0.041022037,-1.60E-04,0.002529185,6.82E-06,2.92E-06,1,0.002369211,-0.000153153
27,0.279289661,0.657549116,0.018234181,0.042559,-1.15E-04,0.002473127,7.08E-06,3.03E-06,1,0.002357934,-0.000108116
