timestamp,SY,AY,SO,AO,RA,RS,ARe,SRe,sum
60.0,1070.1802498459706,-7.637574953923296,-0.17255325979222802,0.0025123270950288008,7.753260039846051,-1069.1405794911097,-1.4288263693200003E-4,0.0148283745505578,0.9999999999999019
61.0,5.507649976379505E8,-9289313.390511096,-93451.52056502362,1578.9930600177838,9287882.390645163,-5.506791824559263E8,-147.7954407008319,7637.140787395201,0.999999885935722
62.0,2.837264611213536E14,-7.508490398872113E12,-4.814154151414663E10,1.2764220674681387E9,7.507328537605471E12,-2.8368225401738725E14,-1.1456080057365972E8,3.934437548505573E9,0.994412899017334
63.0,1.4618527106428645E20,-5.2687571819142892E18,-2.4804118910526192E16,8.957182337316552E14,5.2679404095942298E18,-1.461624941895952E20,-7.894591367196723E13,2.0272442192846488E15,11145.5
64.0,7.533165407874913E25,-3.4348652500585133E24,-1.2781968023062078E22,5.839631149533634E20,3.434332294222912E24,-7.531991683444006E25,-5.1007279352537194E19,1.0447237139815848E21,-8.119123968E9
65.0,3.882588114763334E31,-2.140300376807545E30,-6.587817808313837E27,3.638803284550462E26,2.1399681361802094E30,-3.8819831809336764E31,-3.163970111963919E25,5.384795117407871E26,2.92951129325568E15
66.0,2.0014044843490183E37,-1.2934230107759927E36,-3.3959021145660294E33,2.1990249525200933E32,1.2932221901037493E36,-2.0010926535080625E37,-1.9081823008628286E31,2.7759370500511267E32,-2.6704184062485903E21
67.0,1.0318532212680607E43,-7.645423310263179E41,-1.7508069212846252E39,1.2998563351000772E38,7.644236192337197E41,-1.0316924533250739E43,-1.1273840911787126E37,1.4312749141266169E38,-4.958711480604305E27
68.0,5.320718028977347E48,-4.444272920976016E47,-9.027980453753101E44,7.556101996094235E43,4.4435828803903115E47,-5.3198890400146E48,-6.556961390624218E42,7.380908262730385E43,-8.920100747074736E32
69.0,2.7440471090047964E54,-2.5498696736972943E53,-4.65598920035577E50,4.3352851980667024E49,2.5494738117131946E53,-2.7436195789656744E54,-3.766653570646985E48,3.806888091277232E49,-9.441620684591145E38
70.0,1.4154078333470887E60,-1.4476686560124777E59,-2.4016075010995243E56,2.4613363950816995E55,1.447443944412849E59,-1.4151873109104412E60,-2.1422039879835863E54,1.9638313462221234E55,-2.439879016001836E44
71.0,7.30196981567082E65,-8.148388665386018E64,-1.238969184986549E62,1.385400338532641E61,8.147124096068713E64,-7.300832170462684E65,-1.2083102122753283E60,1.0132397684894825E61,-1.521859942255438E50
72.0,3.767615302442207E71,-4.553469931805432E70,-6.392740251229319E67,7.741899001760487E66,4.552763425906071E70,-3.767028315496159E71,-6.768400081542522E65,5.228707907495155E66,2.884877958349737E55
73.0,1.9442889368963496E77,-2.5290548835403743E76,-3.298992636417976E73,4.2999612414129925E72,2.5286625779643567E76,-1.943986024394235E77,-3.769054812365917E71,2.6986761527280596E72,-1.5856351302445217E61
74.0,1.0035116682899155E83,-1.3973184344766003E82,-1.702719078611685E79,2.375761071399655E78,1.3971017404427073E82,-1.0033553273561193E83,-2.088207324675054E77,1.3930974065222273E78,1.8714734706553407E67
75.0,5.180253736543659E88,-7.685215500613554E87,-8.78965122622882E84,1.3066653363066473E84,7.684024020404506E87,-5.179446697530884E88,-1.1518512725904905E83,7.192610984734371E83,-1.1919423780693972E73
76.0,2.674522283306286E94,-4.210043215084911E93,-4.538024797112984E90,7.158066130416849E89,4.209390698531089E93,-2.674105622892468E94,-6.329005921956062E88,3.71420658925226E89,-1.0136330936751E79
77.0,1.3810441741481302E100,-2.2982132688850622E99,-2.343301918227656E96,3.9075110752130607E95,2.297857174325608E99,-1.380829027106323E100,-3.4656548066667025E94,1.9183150015679378E95,-8.147909521577242E83
78.0,7.132382789683481E105,-1.2506544233339137E105,-1.2101950017014906E102,2.1264142342331343E101,1.2504607013670244E105,-7.131271688856797E105,-1.8919456534074585E100,9.909417501967015E100,9.619008459722164E89
79.0,3.684062468575324E111,-6.786892645515782E110,-6.250974547640345E107,1.1539370471387159E107,6.785841709918331E110,-3.683488568836555E111,-1.0300144968606635E106,5.1197715993964535E106,-7.982492139742424E95
80.0,1.903198672161462E117,-3.673782693149077E116,-3.22927406043521E113,6.246332989719904E112,3.673213997850719E116,-1.9029022009388138E117,-5.593800061403262E111,2.645618339493199E112,-6.292190610415817E101
81.0,9.833442387455376E122,-1.9841279740715002E122,-1.668500682359586E119,3.373508670178237E118,1.983820934230621E122,-9.831910621175983E122,-3.031102613845355E117,1.3673440296850903E118,4.210988884663333E107
82.0,5.081487230578674E128,-1.0693758559210285E128,-8.622072733634685E124,1.818205483771717E124,1.0692104266241E128,-5.080695704231057E128,-1.6391251448741406E123,7.06809257458897E123,-5.52518128023372E112
83.0,2.6262701165795436E134,-5.752737690120061E133,-4.456154787601627E130,9.781096891146902E129,5.751848054873758E133,-2.625861043770725E134,-8.847444281027484E128,3.6542669940946476E129,-3.473964068193674E118
84.0,1.357533974110395E140,-3.0893812810984124E139,-2.3034119479226073E136,5.252727452347594E135,3.0889036827180104E139,-1.3573225289946887E140,-4.767436483271664E134,1.8896079086032883E135,-1.2458710099299812E124
85.0,7.018175751559954E145,-1.6564647360795096E145,-1.1908174212124851E142,2.8164100731107324E141,1.6562087441973313E145,-7.017082661512158E145,-2.564912513261504E140,9.772737341711357E140,1.4888376567362483E130
86.0,3.628769916063089E151,-8.868713939949481E150,-6.157159495788416E147,1.5079073315131298E147,8.867343827553695E150,-3.6282047515569065E151,-1.3779493572989735E146,5.055144339595098E146,-3.0370714761521758E134
87.0,1.876530879946658E157,-4.741927781519163E156,-3.1840268257311215E153,8.062490754666701E152,4.741195461265203E156,-1.8762386303758297E157,-7.392882150546867E151,2.6153111744118537E152,-5.29906132980058E141
88.0,9.705379181469588E162,-2.5322583779694233E162,-1.6467722539408826E159,4.3054899349182845E158,2.5318674436398695E162,-9.703867736477207E162,-3.961466393808606E157,1.3532726155742455E158,-3.1267970030497064E147
89.0,5.020294750788565E168,-1.3506985520125606E168,-8.518248004864292E164,2.2965359309639292E164,1.350490101424483E168,-5.0195129616028295E168,-2.1203005018818154E163,7.003561475135281E163,-3.0611316856653764E152
90.0,2.5971990655339527E174,-7.196824348213617E173,-4.4068303555596415E170,1.22364642369809E170,7.195714064960577E173,-2.596794633825314E174,-1.1336317065791561E169,3.625132691613036E169,-1.0246447937181082E159
91.0,1.3438164711743613E180,-3.830776360723715E179,-2.280137747186592E176,6.513314628421594E175,3.8301855787286935E179,-1.3436072246107157E180,-6.054946782051342E174,1.8767211073272914E175,3.0568713323360225E164
92.0,6.953969149327099E185,-2.0371573370183937E185,-1.1799236706129101E182,3.463698118503869E181,2.0368432774530907E185,-6.952886398736323E185,-3.2310246546814246E180,9.717307983493812E180,-1.384941015624452E170
93.0,3.599009605992818E191,-1.082380855223687E191,-6.106666308835148E187,1.840330200834498E187,1.082214048310236E191,-3.5984492618493366E191,-1.7226106632482048E186,5.032248740185186E186,-5.226786999880842E173
