timestamp,SY,AY,SO,AO,RA,RS,ARe,SRe,sum
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0,1071.9127025000066,-7.660699228277331,-0.16945679320124998,0.0024688074720833333,7.77658781974479,-1070.8757183455366,-1.3752607916666667E-4,0.014252765870833335,0.9999999999998036
3.0,5.516722486817228E8,-9317300.856939767,-91769.44789634753,1552.6905106449033,9315890.620942174,-5.515878193124729E8,-142.25648270151657,7340.880616183871,0.9999998954708644
4.0,2.842015449118131E14,-7.531163578984666E12,-4.72763050863212E10,1.2551684152042787E9,7.530018679384269E12,-2.841580505222076E14,-1.1026881455386344E8,3.7819154815617194E9,1.0078558921813965
5.0,1.4643403587466941E20,-5.2847032469937664E18,-2.4358983456136564E16,8.808097589605162E14,5.2838984264598241E18,-1.4641162560055884E20,-7.598922501807328E13,1.9487093455580885E15,11119.25
6.0,7.5461906103970926E25,-3.4452847033052543E24,-1.2552925034539521E22,5.7424752116222185E20,3.444759553379007E24,-7.545035745779106E25,-4.90975949141362E19,1.0042788547013467E21,1.877016576E10
7.0,3.8894076943774432E31,-2.146807720297813E30,-6.469946198812814E27,3.578288168214597E26,2.14648034700787E30,-3.8888124644872492E31,-3.0455526879076883E25,5.1764729688163795E26,8.761252247502848E15
8.0,2.0049748200172108E37,-1.297364561011218E36,-3.335232843826469E33,2.1624691861650423E32,1.2971666819827862E36,-2.0046679829067E37,-1.8367890184953828E31,2.6686173871824063E32,-3.380942312259579E20
9.0,1.0337223513801527E43,-7.668775579361435E41,-1.7195752219300865E39,1.2782569923013426E38,7.66760584416098E41,-1.0335641536451396E43,-1.0852179184658277E37,1.3759787179673705E38,2.3825283379373934E26
10.0,5.3305027792796104E48,-4.45787899559449E47,-8.867179120231247E44,7.430596887008522E43,4.457199053915874E47,-5.329687020851834E48,-6.311801008391466E42,7.095948424617606E43,-4.360916135191395E32
11.0,2.7491691181333173E54,-2.557694201495038E53,-4.573185307249714E50,4.2633073893927486E49,2.5573041294322557E53,-2.7487483997439176E54,-3.6258676157701406E48,3.6600141324746864E49,-8.762156717683278E38
12.0,1.4180889269132318E60,-1.4521213284727767E59,-2.358961450852846E56,2.4204886391874506E55,1.4518999012229389E59,-1.417871911936766E60,-2.0621614081131184E54,1.888116861928498E55,-3.688334186350729E44
13.0,7.316003290612874E65,-8.173509732787286E64,-1.2170020373354213E62,1.362418344036238E61,8.172263632146642E64,-7.314883708762794E65,-1.1631770339586203E60,9.742018725432761E60,-2.0962415037080245E50
14.0,3.7749604528385156E71,-4.5675409947919867E70,-6.279569252430123E67,7.61352589922406E66,4.5668447988765434E70,-3.774382769883242E71,-6.515667447944326E65,5.027396996960369E66,-5.187587200491631E55
15.0,1.9481332516695666E77,-2.53688853118543E76,-3.240679948390078E73,4.2286916789463216E72,2.5365019456560724E76,-1.94783513213858E77,-3.628363853657096E71,2.594846385237814E72,1.6543301623611597E61
16.0,1.0055236336911402E83,-1.4016567959523522E82,-1.6726681985265257E79,2.3364011491083583E78,1.401443258679397E82,-1.0053697622334066E83,-2.010284195580331E77,1.3395362119277495E78,1.7068201708883875E67
17.0,5.190783192085427E88,-7.709132910394009E87,-8.63476338751241E84,1.2850268607717712E84,7.707958771824287E87,-5.189988878400562E88,-1.1088829105138957E83,6.916265388570265E83,-3.534880367210123E72
18.0,2.6800325886080225E94,-4.2231765656188585E93,-4.458180632059237E90,7.03957994523902E89,4.222533537487395E93,-2.67962248658011E94,-6.0929863060567416E88,3.5716035292949556E89,-7.148917650070671E78
19.0,1.3839277423566792E100,-2.3053997004793847E99,-2.302136311740443E96,3.8428592414723994E95,2.305048779114719E99,-1.3837159758731806E100,-3.3364559481280303E94,1.844714767581683E95,3.839183984018178E84
20.0,7.147472123911739E105,-1.2545745250410233E105,-1.1889678836559558E102,2.0912471777913268E101,1.2543836146917034E105,-7.146378450902839E105,-1.8214368459484805E100,9.529487475860398E100,2.0057046124406695E90
21.0,3.691958259772943E111,-6.808216762177434E110,-6.1415001843391E107,1.1348615141707141E107,6.807181064687596E110,-3.6913933459082403E111,-9.916402433246195E105,4.923615373037037E106,-5.074745505683525E95
22.0,1.9073301686380622E117,-3.685353311437006E116,-3.172806584834014E113,6.143122221010781E112,3.6847928538475805E116,-1.90703833124427E117,-5.385463267531274E111,2.5443264691455554E112,4.804176601711874E101
23.0,9.855059898269386E122,-1.9903920750046027E122,-1.639370142863902E119,3.317791900885211E118,1.990089478285877E122,-9.853552031092285E122,-2.9182471363323164E117,1.3150296576379898E118,1.0579882238625294E107
24.0,5.092797968652534E128,-1.07276015155947E128,-8.471771503919193E124,1.7881896663754123E124,1.0725971137490843E128,-5.092018770079942E128,-1.5781156251881282E123,6.797857779939975E123,-1.4855588680206743E113
25.0,2.6321879610784757E134,-5.770987745683215E133,-4.378594392042476E130,9.619699396200823E129,5.770110958129506E133,-2.631785248149186E134,-8.518238591207893E128,3.5146509914855314E129,4.0243608422495593E118
26.0,1.3606301374406289E140,-3.099205898185628E139,-2.2633824096981947E136,5.16609212595025E135,3.0987351899696544E139,-1.3604219738347184E140,-4.590099662112994E134,1.8174635059300722E135,-7.375873995520494E123
27.0,7.034374156022579E145,-1.6617453398260702E145,-1.170154875827993E142,2.769979305705971E141,1.6614930372332741E145,-7.033297999940808E145,-2.4695337774763928E140,9.399879405824593E140,1.3384426642334915E130
28.0,3.637244317187305E151,-8.89705538634793E150,-6.05048777206971E147,1.4830597939878908E147,8.895704999039424E150,-3.636687892518473E151,-1.3267248548190462E146,4.8624108375955225E146,1.243247345757731E136
29.0,1.8809642555167795E157,-4.7571185222039255E156,-3.1289490213465737E153,7.929697636506765E152,4.756396733846946E156,-1.880676517303161E157,-7.118140667119955E151,2.5156688515961286E152,-1.9397871874001157E141
30.0,9.72857176204336E162,-2.5403903768495636E162,-1.6183299163659611E159,4.2346096485721726E158,2.5400050588026517E162,-9.727083607066647E162,-3.814291794496523E157,1.3017493965438161E158,3.1700380982036927E147
31.0,5.032427325393195E168,-1.3550468128677757E168,-8.371350354814736E164,2.2587463926039693E164,1.3548413537505273E168,-5.031657561358329E168,-2.0415522011737473E163,6.737100061681692E163,1.1080171474087198E153
32.0,2.603545744116632E174,-7.220050029328452E173,-4.3309507920254954E170,1.2035208320245926E170,7.218955662626656E173,-2.603147522084175E174,-1.0915413022588442E169,3.4873046745959846E169,8.771656103927046E158
33.0,1.3471364090526497E180,-3.8431696688714006E179,-2.2409369660831032E176,6.406239635468539E175,3.842587346929893E179,-1.3469303695299742E180,-5.8302022038358815E174,1.805417393315258E175,1.641752057368068E164
34.0,6.971335301362516E185,-2.0437642770207422E185,-1.1596690537493742E182,3.406784233305394E181,2.0434547099317635E185,-6.970269115970683E185,-3.111133435211822E180,9.34836619164452E180,6.202160807237237E169
35.0,3.6080934086205834E191,-1.0858999716547117E191,-6.001998714694335E187,1.8101052866926114E187,1.0857355482297088E191,-3.60754162193649E191,-1.6587103666306772E186,4.8413187376012085E186,7.483870140199072E175
36.0,1.8676536245578516E197,-5.764879280864891E196,-3.1068085367387412E193,9.609580097055179E192,5.76400668423651E196,-1.8673680198611487E197,-8.836138132396522E191,2.5076156970841185E192,1.7131441168838387E181
37.0,9.66876513788634E202,-3.0581133688538324E202,-1.6083819643796084E199,5.097625691628129E198,3.057650640684909E202,-9.667286661284752E202,-4.7034400239982325E197,1.2990536279237162E198,3.246049843099672E186
38.0,5.0061187196253525E208,-1.6210623219582116E208,-8.327590411987029E204,2.702179727957078E204,1.6208171217970294E208,-5.00535326776606E208,-2.501781161311796E203,6.730718190607408E203,8.118632506498187E192
39.0,2.592304859748759E214,-8.587105656317266E213,-4.312253803049519E210,1.4314015252460276E210,8.58580723330691E213,-2.591908513315799E214,-1.3297851489284285E209,3.487894734499684E209,-2.3378675715194948E198
40.0,1.3425335001063786E220,-4.5458136778360596E219,-2.2332811430545737E216,7.577508656421704E215,4.5451265633702656E219,-1.3423282492415756E220,-7.063639984853355E214,1.8077249502739585E215,3.5861356735046327E202
41.0,6.953727119256863E225,-2.4049700015908358E225,-1.1567404928773122E222,4.00889431299588E221,2.4046066099572104E225,-6.952664084833454E225,-3.7497797674452764E220,9.37060694675705E220,-1.618930910769746E210
42.0,3.6021594587947955E231,-1.271613773364006E231,-5.9921304000837956E227,2.1196799557262906E227,1.271421699600208E231,-3.601608827020281E231,-1.9894231774901503E226,4.858126549410836E226,2.898334881753154E214
43.0,1.8662091747654442E237,-6.719881004385847E236,-3.1044071042000143E233,1.120151518806376E233,6.718866341545035E236,-1.865923924450464E237,-1.0548867799647152E232,2.519039544047814E232,4.940204262492557E221
